ID,station ,fish,Drift ID,Species ,Fork Length (mm),Total Length (mm),Length (cm),Total Angler Hrs,num_caught
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C339,6,2435,BLM0708251302,GPR,267,,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C340,11,2436,BLM0708251302,VER,484,496,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
C341,12,2437,BLM0708251302,GPR,260,,,2.25,28
S255,13,2438,BLM0708251302,OLV,411,426,,2.25,28
